"Designator","Footprint","数量","Comment","供应商和参考",
"P1,P4","PinHeader_2x30_P2.54mm_Vertical",2,"Conn_02x30_Odd_Even_Shielded",,,
"R3","R_0603_1608Metric",1,"47k",,,
"J1","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",1,"USB_C_Receptacle",,,
"C2","C_Elec_6.3x5.8",1,"330uF",,,
"RP3,RN0,RP2,RP1,RN3,RN2,RN1,RP0","R_0603_1608Metric",8,"49.9",,,
"U4,U5","Diodes_UDFN-10_1.0x2.5mm_P0.5mm",2,"AZ1045-04F",,,
"J3,P2,P3","USB_A_Molex_67643_Horizontal",3,"USB_A",,,
"R1,R2","R_0603_1608Metric",2,"5.1k",,,
"U3","DAP",1,"DAP",,,
"C5,C1","C_0805_2012Metric",2,"10uF",,,
"Y1","Crystal_HC49-4H_Vertical",1,"12MHz",,,
"C6,C4,C3","C_0603_1608Metric",3,"0.1uF",,,
"J2","Nunchunk",1,"Nunchunk",,,
"C7","C_0603_1608Metric",1,"1uF",,,
"U1","SOT-23-6",1,"CH217K",,,
"J4","HDMI_A_Molex_208658-1001_Horizontal",1,"HDMI_A",,,
"R6","R_0603_1608Metric",1,"2k",,,
"U2","SSOP-28_3.9x9.9mm_P0.635mm",1,"CH334U",,,
"J5","Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal",1,"AudioJack3",,,
